transaction_id,parent,parent_type,child,child_type,rel_type,date
2403/53_tr_01,Government of Sri Lanka,government,Minister of Defence,minister,minister,2024-09-27
2403/53_tr_02,Government of Sri Lanka,government,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,minister,2024-09-27
2403/53_tr_03,Government of Sri Lanka,government,Minister of Energy,minister,minister,2024-09-27
2403/53_tr_04,Government of Sri Lanka,government,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",minister,minister,2024-09-27
2403/53_tr_05,Government of Sri Lanka,government,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",minister,minister,2024-09-27
2403/53_tr_06,Government of Sri Lanka,government,"Minister of Education, Science and Technology",minister,minister,2024-09-27
2403/53_tr_07,Government of Sri Lanka,government,"Minister of Women, Child and Youth Affairs and Sports",minister,minister,2024-09-27
2403/53_tr_08,Government of Sri Lanka,government,"Minister of Trade, Commerce, Food Security, Cooperative Development, Industry and Entrepreneurship Development",minister,minister,2024-09-27
2403/53_tr_09,Government of Sri Lanka,government,Minister of Health,minister,minister,2024-09-27
2403/53_tr_10,Government of Sri Lanka,government,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",minister,minister,2024-09-27
2403/53_tr_11,Government of Sri Lanka,government,"Minister of Transport, Highways, Ports and Civil Aviation",minister,minister,2024-09-27
2403/53_tr_12,Government of Sri Lanka,government,Minister of Public Security,minister,minister,2024-09-27
2403/53_tr_13,Government of Sri Lanka,government,Minister of Foreign Affairs,minister,minister,2024-09-27
2403/53_tr_14,Government of Sri Lanka,government,"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",minister,minister,2024-09-27
2403/53_tr_15,Government of Sri Lanka,government,"Minister of Rural and Urban Development, Housing and Construction",minister,minister,2024-09-27
2403/53_tr_16,Minister of Defence,minister,Office of the Chief of Defence Staff,department,department,2024-09-27
2403/53_tr_17,Minister of Defence,minister,Sri Lanka Army,department,department,2024-09-27
2403/53_tr_18,Minister of Defence,minister,Sri Lanka Navy,department,department,2024-09-27
2403/53_tr_19,Minister of Defence,minister,Sri Lanka Air Force,department,department,2024-09-27
2403/53_tr_20,Minister of Defence,minister,State Intelligence Service,department,department,2024-09-27
2403/53_tr_21,Minister of Defence,minister,Civil Security Department,department,department,2024-09-27
2403/53_tr_22,Minister of Defence,minister,National Cadet Corps,department,department,2024-09-27
2403/53_tr_23,Minister of Defence,minister,National Authority for the Implementation of Chemical Weapons Convention,department,department,2024-09-27
2403/53_tr_24,Minister of Defence,minister,Sir John Kotelawala Defence University,department,department,2024-09-27
2403/53_tr_25,Minister of Defence,minister,Defence Services Command and Staff College,department,department,2024-09-27
2403/53_tr_26,Minister of Defence,minister,Miloda Institute - as a Faculty of Kotelawala Defence University,department,department,2024-09-27
2403/53_tr_27,Minister of Defence,minister,Defence Services College,department,department,2024-09-27
2403/53_tr_28,Minister of Defence,minister,Defence Research and Development Centre,department,department,2024-09-27
2403/53_tr_29,Minister of Defence,minister,Institute of National Security Studies,department,department,2024-09-27
2403/53_tr_30,Minister of Defence,minister,National Defence College,department,department,2024-09-27
2403/53_tr_31,Minister of Defence,minister,Rakna Arakshana Lanka Ltd.,department,department,2024-09-27
2403/53_tr_32,Minister of Defence,minister,Coast Guard Department of Sri Lanka,department,department,2024-09-27
2403/53_tr_33,Minister of Defence,minister,National Defence Fund,department,department,2024-09-27
2403/53_tr_34,Minister of Defence,minister,Ranaviru Seva Authority,department,department,2024-09-27
2403/53_tr_35,Minister of Defence,minister,Api Wenuwen Api Fund,department,department,2024-09-27
2403/53_tr_36,Minister of Defence,minister,Department of Meteorology,department,department,2024-09-27
2403/53_tr_37,Minister of Defence,minister,National Disaster Management Council,department,department,2024-09-27
2403/53_tr_38,Minister of Defence,minister,Disaster Management Centre,department,department,2024-09-27
2403/53_tr_39,Minister of Defence,minister,National Disaster Relief Services Centre,department,department,2024-09-27
2403/53_tr_40,Minister of Defence,minister,National Building Research Organization,department,department,2024-09-27
2403/53_tr_41,Minister of Defence,minister,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,department,2024-09-27
2403/53_tr_42,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of National Planning,department,department,2024-09-27
2403/53_tr_43,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of External Resources,department,department,2024-09-27
2403/53_tr_44,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,General Treasury,department,department,2024-09-27
2403/53_tr_45,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Fiscal Policy,department,department,2024-09-27
2403/53_tr_46,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of National Budget,department,department,2024-09-27
2403/53_tr_47,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Management Services,department,department,2024-09-27
2403/53_tr_48,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Public Finance,department,department,2024-09-27
2403/53_tr_49,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Treasury Operations,department,department,2024-09-27
2403/53_tr_50,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of State Accounts,department,department,2024-09-27
2403/53_tr_51,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Trade and Investment Policy,department,department,2024-09-27
2403/53_tr_52,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Department of Legal Affairs,department,department,2024-09-27
